"aesthetic","day_diff_med","aes_wiki_link","rank","main_img"
"Vaporwave",0.00432676909630242,"https://aesthetics.fandom.com/wiki/Vaporwave",75,"https://static.wikia.nocookie.net/aesthetics/images/3/32/Floral_shoppe.jpg"
"Playboy",0.00431526188724995,"https://aesthetics.fandom.com/wiki/Playboy",76,"https://static.wikia.nocookie.net/aesthetics/images/2/22/Playboy_Aesthetic_1.jpg"
"Pearly",0.00419118865334421,"https://aesthetics.fandom.com/wiki/Pearly",77,"https://static.wikia.nocookie.net/aesthetics/images/e/ef/Tipos_de_Aesthetic_-_Pearly.jpg"
"Naturecore",0.00410679349659313,"https://aesthetics.fandom.com/wiki/Naturecore",78,"https://static.wikia.nocookie.net/aesthetics/images/1/1f/CD8A6A3B-DA64-4C90-9EAC-4D48FBAFAC8B.png"
"Cottagegore",0.00406815567292401,"https://aesthetics.fandom.com/wiki/Cottagegore",79,"https://static.wikia.nocookie.net/aesthetics/images/e/e6/CCB6531B-1AAF-403B-84D3-E6C6939F85A2.jpeg"
"Coastal Grandmother",0.00405681182317896,"https://aesthetics.fandom.com/wiki/Coastal_Grandmother",80,"https://static.wikia.nocookie.net/aesthetics/images/c/c3/CGM5.jpg"
"Kinderwhore",0.0040115631956468,"https://aesthetics.fandom.com/wiki/Kinderwhore",81,"https://static.wikia.nocookie.net/aesthetics/images/2/22/KW.jpeg"
"Tomboy",0.00395036500904723,"https://aesthetics.fandom.com/wiki/Tomboy",82,"https://static.wikia.nocookie.net/aesthetics/images/9/97/9k%3D%28%28.jpeg"
"Athlete",0.00391390931372549,"https://aesthetics.fandom.com/wiki/Athlete",83,"https://static.wikia.nocookie.net/aesthetics/images/8/82/Runningexercise.jpeg"
"After Hours",0.00379508007835004,"https://aesthetics.fandom.com/wiki/After_Hours",84,"https://static.wikia.nocookie.net/aesthetics/images/c/c2/Fort_Hill_High_School%2C_MD%2C_at_night.jpg"
"Hip-Hop",0.00378087392650499,"https://aesthetics.fandom.com/wiki/Hip-Hop",85,"https://static.wikia.nocookie.net/aesthetics/images/f/fe/BffggvcZ.jpeg"
"Gothcore",0.0036101083032491,"https://aesthetics.fandom.com/wiki/Gothcore",86,"https://static.wikia.nocookie.net/aesthetics/images/b/bc/Gothic_window_with_bats%2C_photo_by_Nona_Limmen.jpeg"
"Otaku",0.00339559552634613,"https://aesthetics.fandom.com/wiki/Otaku",87,"https://www.dontcrampmystyle.co.uk/wp-content/uploads/2014/05/Light_Pastel_Purple_429585_i0-1.png"
"Back-to-School",0.00330396475770925,"https://aesthetics.fandom.com/wiki/Back-to-School",88,"https://static.wikia.nocookie.net/aesthetics/images/7/71/Back_to_school.png"
"E-Girl",0.00327699104716479,"https://aesthetics.fandom.com/wiki/E-Girl",89,"https://static.wikia.nocookie.net/aesthetics/images/3/3a/Egirl-stripes-plaid.jpg"
"Scoutcore",0.00323508602070455,"https://aesthetics.fandom.com/wiki/Scoutcore",90,"https://static.wikia.nocookie.net/aesthetics/images/3/3d/Camp_tingz.PNG"
"Western",0.00319695915892176,"https://aesthetics.fandom.com/wiki/Western",91,"https://static.wikia.nocookie.net/aesthetics/images/b/b5/Clint-eastwood-tres-homens-1590976291458_v2_450x337.jpg"
