"","aesthetic","aes_link","depop_results","date"
"95","Cartooncore","https://aesthetics.fandom.com/wiki/Cartooncore",2,"2023-01-14"
"96","Casino","https://aesthetics.fandom.com/wiki/Casino",38,"2023-01-14"
"97","Cassette Futurism","https://aesthetics.fandom.com/wiki/Cassette_Futurism",NA,"2023-01-14"
"98","Celtic","https://aesthetics.fandom.com/wiki/Celtic",308,"2023-01-14"
"99","Changelingcore","https://aesthetics.fandom.com/wiki/Changelingcore",NA,"2023-01-14"
"100","Chaotic Academia","https://aesthetics.fandom.com/wiki/Chaotic_Academia",NA,"2023-01-14"
"101","Chav","https://aesthetics.fandom.com/wiki/Chav",1,"2023-01-14"
"102","Cheiron Crush","https://aesthetics.fandom.com/wiki/Cheiron_Crush",NA,"2023-01-14"
"103","Cherry Emoji Twitter","https://aesthetics.fandom.com/wiki/Cherry_Emoji_Twitter",NA,"2023-01-14"
"104","Chic Modernist","https://aesthetics.fandom.com/wiki/Chic_Modernist",NA,"2023-01-14"
"105","Cholo","https://aesthetics.fandom.com/wiki/Cholo",5,"2023-01-14"
"106","Christcore","https://aesthetics.fandom.com/wiki/Christcore",1,"2023-01-14"
"107","Christian Girl Autumn","https://aesthetics.fandom.com/wiki/Christian_Girl_Autumn",NA,"2023-01-14"
"108","Christmas","https://aesthetics.fandom.com/wiki/Christmas",2965,"2023-01-14"
"109","Chunyu","https://aesthetics.fandom.com/wiki/Chunyu",NA,"2023-01-14"
"110","City Pop","https://aesthetics.fandom.com/wiki/City_Pop",NA,"2023-01-14"
"111","Classic Academia","https://aesthetics.fandom.com/wiki/Classic_Academia",NA,"2023-01-14"
"112","Classic Lolita","https://aesthetics.fandom.com/wiki/Classic_Lolita",NA,"2023-01-14"
"113","Classicism","https://aesthetics.fandom.com/wiki/Classicism",206,"2023-01-14"
"114","Cleancore","https://aesthetics.fandom.com/wiki/Cleancore",288,"2023-01-14"
"115","Clockpunk","https://aesthetics.fandom.com/wiki/Clockpunk",NA,"2023-01-14"
"116","Cloudcore","https://aesthetics.fandom.com/wiki/Single-Subject_Aesthetics",285,"2023-01-14"
"117","Clowncore","https://aesthetics.fandom.com/wiki/Clowncore",338,"2023-01-14"
"118","Club","https://aesthetics.fandom.com/wiki/Club",NA,"2023-01-14"
"119","Club Kids","https://aesthetics.fandom.com/wiki/Club_Kids",NA,"2023-01-14"
"120","Coastal Grandmother","https://aesthetics.fandom.com/wiki/Coastal_Grandmother",249,"2023-01-14"
"121","Cutecore","https://aesthetics.fandom.com/wiki/Cutecore",213,"2023-01-14"
"122","Coffee House/Cafe","https://aesthetics.fandom.com/wiki/Coffee_House/Cafe",1,"2023-01-14"
"123","Coffinwood","https://aesthetics.fandom.com/wiki/Coffinwood",NA,"2023-01-14"
"124","Colourful Black","https://aesthetics.fandom.com/wiki/Colourful_Black",NA,"2023-01-14"
"125","Comfy/Cozy","https://aesthetics.fandom.com/wiki/Comfy/Cozy",1143,"2023-01-14"
"126","Common White Girl","https://aesthetics.fandom.com/wiki/Common_White_Girl",NA,"2023-01-14"
"127","Concore","https://aesthetics.fandom.com/wiki/Concore",7,"2023-01-14"
"128","Constructivism","https://aesthetics.fandom.com/wiki/Constructivism",3,"2023-01-14"
"129","Corporate","https://aesthetics.fandom.com/wiki/Corporate",NA,"2023-01-14"
"130","Corporate Memphis","https://aesthetics.fandom.com/wiki/Corporate_Memphis",NA,"2023-01-14"
"131","Corporate Punk","https://aesthetics.fandom.com/wiki/Corporate_Punk",NA,"2023-01-14"
"132","Cottagecore","https://aesthetics.fandom.com/wiki/Cottagecore",23423,"2023-01-14"
"133","Cottagegore","https://aesthetics.fandom.com/wiki/Cottagegore",18001,"2023-01-14"
"134","Coquette Academia","https://aesthetics.fandom.com/wiki/Coquette_Academia",NA,"2023-01-14"
"135","Coquette","https://aesthetics.fandom.com/wiki/Coquette",23,"2023-01-14"
"136","Country","https://aesthetics.fandom.com/wiki/Country",942,"2023-01-14"
"137","Cozy Childhood Hideaway","https://aesthetics.fandom.com/wiki/Cozy_Childhood_Hideaway",NA,"2023-01-14"
"138","C-Pop","https://aesthetics.fandom.com/wiki/C-Pop",37,"2023-01-14"
"139","Crackhead","https://aesthetics.fandom.com/wiki/Crackhead",95,"2023-01-14"
"140","Craftcore","https://aesthetics.fandom.com/wiki/Craftcore",15,"2023-01-14"
"141","Cripplepunk","https://aesthetics.fandom.com/wiki/Cripplepunk",NA,"2023-01-14"
"142","Crowcore","https://aesthetics.fandom.com/wiki/Crowcore",17,"2023-01-14"
"143","Crustpunk","https://aesthetics.fandom.com/wiki/Crustpunk",18,"2023-01-14"
"144","Cryptid Academia","https://aesthetics.fandom.com/wiki/Cryptid_Academia",NA,"2023-01-14"
"145","Cryptidcore","https://aesthetics.fandom.com/wiki/Cryptidcore",7,"2023-01-14"
"146","Cubism","https://aesthetics.fandom.com/wiki/Cubism",3,"2023-01-14"
"147","Cuddle Party","https://aesthetics.fandom.com/wiki/Cuddle_Party",NA,"2023-01-14"
"148","Cultcore","https://aesthetics.fandom.com/wiki/Cultcore",NA,"2023-01-14"
"149","Cult Party Kei","https://aesthetics.fandom.com/wiki/Cult_Party_Kei",NA,"2023-01-14"
"150","Cyberdelic","https://aesthetics.fandom.com/wiki/Cyberdelic",2,"2023-01-14"
"151","Cyber Fairy Grunge","https://aesthetics.fandom.com/wiki/Cyber_Fairy_Grunge",NA,"2023-01-14"
"152","Cyberghetto","https://aesthetics.fandom.com/wiki/Cyberghetto",67,"2023-01-14"
"153","Cybergoth","https://aesthetics.fandom.com/wiki/Cybergoth",529,"2023-01-14"
"154","Cybergrunge","https://aesthetics.fandom.com/wiki/Cybergrunge",311,"2023-01-14"
"155","CyberneticPunk","https://aesthetics.fandom.com/wiki/CyberneticPunk",NA,"2023-01-14"
"156","Cyberparadism","https://aesthetics.fandom.com/wiki/Cyberparadism",NA,"2023-01-14"
"157","Cyberpop","https://aesthetics.fandom.com/wiki/Cyberpop",3,"2023-01-14"
"158","Cyberprep","https://aesthetics.fandom.com/wiki/Cyberprep",NA,"2023-01-14"
"159","Cyberpunk","https://aesthetics.fandom.com/wiki/Cyberpunk",690,"2023-01-14"
"160","Danish Pastel","https://aesthetics.fandom.com/wiki/Danish_Pastel",NA,"2023-01-14"
"161","DarkErrorcore","https://aesthetics.fandom.com/wiki/DarkErrorcore",NA,"2023-01-14"
"162","Dark Academia","https://aesthetics.fandom.com/wiki/Dark_Academia",NA,"2023-01-14"
"163","Dark Fantasy","https://aesthetics.fandom.com/wiki/Dark_Fantasy",NA,"2023-01-14"
"164","Dark Naturalism","https://aesthetics.fandom.com/wiki/Dark_Naturalism",NA,"2023-01-14"
"165","Dark Nautical","https://aesthetics.fandom.com/wiki/Dark_Nautical",NA,"2023-01-14"
"166","Dark Nymphet","https://aesthetics.fandom.com/wiki/Dark_Nymphet",NA,"2023-01-14"
"167","Dark Paradise","https://aesthetics.fandom.com/wiki/Dark_Paradise",NA,"2023-01-14"
"168","Darkcore","https://aesthetics.fandom.com/wiki/Darkcore",9,"2023-01-14"
"169","Darkest Academia","https://aesthetics.fandom.com/wiki/Darkest_Academia",NA,"2023-01-14"
"170","Daydreampunk","https://aesthetics.fandom.com/wiki/Daydreampunk",1,"2023-01-14"
"171","Dazecore","https://aesthetics.fandom.com/wiki/Dazecore",3,"2023-01-14"
"172","De Stijl","https://aesthetics.fandom.com/wiki/De_Stijl",NA,"2023-01-14"
"173","Deathcore","https://aesthetics.fandom.com/wiki/Deathcore",93,"2023-01-14"
"174","Deathrock","https://aesthetics.fandom.com/wiki/Deathrock",38,"2023-01-14"
"175","Decopunk","https://aesthetics.fandom.com/wiki/Decopunk",3,"2023-01-14"
"176","Decora","https://aesthetics.fandom.com/wiki/Decora",3485,"2023-01-14"
"177","Delicate Sweet","https://aesthetics.fandom.com/wiki/Delicate_Sweet",122,"2023-01-14"
"178","Desertwave","https://aesthetics.fandom.com/wiki/Desertwave",2,"2023-01-14"
"179","Desi Romantic Academia","https://aesthetics.fandom.com/wiki/Desi_Romantic_Academia",NA,"2023-01-14"
"180","Dethereal","https://aesthetics.fandom.com/wiki/Dethereal",NA,"2023-01-14"
"181","Devilcore","https://aesthetics.fandom.com/wiki/Devilcore",23,"2023-01-14"
"182","Dieselpunk","https://aesthetics.fandom.com/wiki/Dieselpunk",2,"2023-01-14"
"183","Diner","https://aesthetics.fandom.com/wiki/Diner",545,"2023-01-14"
"184","Dionysism","https://aesthetics.fandom.com/wiki/Dionysism",1,"2023-01-14"
"185","Dolly Kei","https://aesthetics.fandom.com/wiki/Dolly_Kei",NA,"2023-01-14"
"186","Downtown Girl","https://aesthetics.fandom.com/wiki/Downtown_Girl",NA,"2023-01-14"
"187","Dracopunk","https://aesthetics.fandom.com/wiki/Dracopunk",3,"2023-01-14"
"188","Dragoncore","https://aesthetics.fandom.com/wiki/Dragoncore",5,"2023-01-14"
"189","Drain","https://aesthetics.fandom.com/wiki/Drain",429,"2023-01-14"
"190","Dreamcore","https://aesthetics.fandom.com/wiki/Dreamcore",71,"2023-01-14"
"191","Dreamy","https://aesthetics.fandom.com/wiki/Dreamy",1935,"2023-01-14"
"192","Drugcore","https://aesthetics.fandom.com/wiki/Drugcore",NA,"2023-01-14"
"193","Dual Kawaii","https://aesthetics.fandom.com/wiki/Dual_Kawaii",NA,"2023-01-14"
"194","Duckcore","https://aesthetics.fandom.com/wiki/Duckcore",NA,"2023-01-14"
"195","Dullcore","https://aesthetics.fandom.com/wiki/Dullcore",388,"2023-01-14"
"196","Dungeon Synth","https://aesthetics.fandom.com/wiki/Dungeon_Synth",NA,"2023-01-14"
"197","E-Boy","https://aesthetics.fandom.com/wiki/E-Boy",5015,"2023-01-14"
"198","E-Girl","https://aesthetics.fandom.com/wiki/E-Girl",18526,"2023-01-14"
"199","Earthcore","https://aesthetics.fandom.com/wiki/Earthcore",774,"2023-01-14"
"200","ElectroPop 08","https://aesthetics.fandom.com/wiki/ElectroPop_08",NA,"2023-01-14"
"201","Electro Swing","https://aesthetics.fandom.com/wiki/Electro_Swing",NA,"2023-01-14"
"202","Emo","https://aesthetics.fandom.com/wiki/Emo",NA,"2023-01-14"
"203","English Major","https://aesthetics.fandom.com/wiki/English_Major",7,"2023-01-14"
"204","Equestrian","https://aesthetics.fandom.com/wiki/Equestrian",99,"2023-01-14"
"205","Erokawa","https://aesthetics.fandom.com/wiki/Erokawa",NA,"2023-01-14"
"206","Ethereal","https://aesthetics.fandom.com/wiki/Ethereal",NA,"2023-01-14"
"207","Europunk","https://aesthetics.fandom.com/wiki/Europunk",NA,"2023-01-14"
"208","Expressionism","https://aesthetics.fandom.com/wiki/Expressionism",18,"2023-01-14"
