"","aesthetic","aes_link","depop_results","date"
"124","Colourful Black","https://aesthetics.fandom.com/wiki/Colourful_Black",NA,"2023-01-13"
"125","Comfy/Cozy","https://aesthetics.fandom.com/wiki/Comfy/Cozy",1149,"2023-01-13"
"126","Common White Girl","https://aesthetics.fandom.com/wiki/Common_White_Girl",NA,"2023-01-13"
"127","Concore","https://aesthetics.fandom.com/wiki/Concore",7,"2023-01-13"
"128","Constructivism","https://aesthetics.fandom.com/wiki/Constructivism",3,"2023-01-13"
"129","Corporate","https://aesthetics.fandom.com/wiki/Corporate",NA,"2023-01-13"
"130","Corporate Memphis","https://aesthetics.fandom.com/wiki/Corporate_Memphis",NA,"2023-01-13"
"131","Corporate Punk","https://aesthetics.fandom.com/wiki/Corporate_Punk",NA,"2023-01-13"
"132","Cottagecore","https://aesthetics.fandom.com/wiki/Cottagecore",23402,"2023-01-13"
"133","Cottagegore","https://aesthetics.fandom.com/wiki/Cottagegore",18010,"2023-01-13"
"134","Coquette Academia","https://aesthetics.fandom.com/wiki/Coquette_Academia",NA,"2023-01-13"
"135","Coquette","https://aesthetics.fandom.com/wiki/Coquette",23,"2023-01-13"
"136","Country","https://aesthetics.fandom.com/wiki/Country",942,"2023-01-13"
"137","Cozy Childhood Hideaway","https://aesthetics.fandom.com/wiki/Cozy_Childhood_Hideaway",NA,"2023-01-13"
"138","C-Pop","https://aesthetics.fandom.com/wiki/C-Pop",38,"2023-01-13"
"139","Crackhead","https://aesthetics.fandom.com/wiki/Crackhead",96,"2023-01-13"
"140","Craftcore","https://aesthetics.fandom.com/wiki/Craftcore",15,"2023-01-13"
"141","Cripplepunk","https://aesthetics.fandom.com/wiki/Cripplepunk",NA,"2023-01-13"
"142","Crowcore","https://aesthetics.fandom.com/wiki/Crowcore",17,"2023-01-13"
"143","Crustpunk","https://aesthetics.fandom.com/wiki/Crustpunk",18,"2023-01-13"
"144","Cryptid Academia","https://aesthetics.fandom.com/wiki/Cryptid_Academia",NA,"2023-01-13"
"145","Cryptidcore","https://aesthetics.fandom.com/wiki/Cryptidcore",7,"2023-01-13"
"146","Cubism","https://aesthetics.fandom.com/wiki/Cubism",3,"2023-01-13"
"147","Cuddle Party","https://aesthetics.fandom.com/wiki/Cuddle_Party",NA,"2023-01-13"
"148","Cultcore","https://aesthetics.fandom.com/wiki/Cultcore",NA,"2023-01-13"
"149","Cult Party Kei","https://aesthetics.fandom.com/wiki/Cult_Party_Kei",NA,"2023-01-13"
"150","Cyberdelic","https://aesthetics.fandom.com/wiki/Cyberdelic",2,"2023-01-13"
"151","Cyber Fairy Grunge","https://aesthetics.fandom.com/wiki/Cyber_Fairy_Grunge",NA,"2023-01-13"
"152","Cyberghetto","https://aesthetics.fandom.com/wiki/Cyberghetto",67,"2023-01-13"
"153","Cybergoth","https://aesthetics.fandom.com/wiki/Cybergoth",527,"2023-01-13"
"154","Cybergrunge","https://aesthetics.fandom.com/wiki/Cybergrunge",311,"2023-01-13"
"155","CyberneticPunk","https://aesthetics.fandom.com/wiki/CyberneticPunk",NA,"2023-01-13"
"156","Cyberparadism","https://aesthetics.fandom.com/wiki/Cyberparadism",NA,"2023-01-13"
"157","Cyberpop","https://aesthetics.fandom.com/wiki/Cyberpop",3,"2023-01-13"
"158","Cyberprep","https://aesthetics.fandom.com/wiki/Cyberprep",NA,"2023-01-13"
"159","Cyberpunk","https://aesthetics.fandom.com/wiki/Cyberpunk",688,"2023-01-13"
"160","Danish Pastel","https://aesthetics.fandom.com/wiki/Danish_Pastel",NA,"2023-01-13"
"161","DarkErrorcore","https://aesthetics.fandom.com/wiki/DarkErrorcore",NA,"2023-01-13"
"162","Dark Academia","https://aesthetics.fandom.com/wiki/Dark_Academia",NA,"2023-01-13"
"163","Dark Fantasy","https://aesthetics.fandom.com/wiki/Dark_Fantasy",NA,"2023-01-13"
"164","Dark Naturalism","https://aesthetics.fandom.com/wiki/Dark_Naturalism",NA,"2023-01-13"
"165","Dark Nautical","https://aesthetics.fandom.com/wiki/Dark_Nautical",NA,"2023-01-13"
"166","Dark Nymphet","https://aesthetics.fandom.com/wiki/Dark_Nymphet",NA,"2023-01-13"
"167","Dark Paradise","https://aesthetics.fandom.com/wiki/Dark_Paradise",NA,"2023-01-13"
"168","Darkcore","https://aesthetics.fandom.com/wiki/Darkcore",9,"2023-01-13"
"169","Darkest Academia","https://aesthetics.fandom.com/wiki/Darkest_Academia",NA,"2023-01-13"
"170","Daydreampunk","https://aesthetics.fandom.com/wiki/Daydreampunk",1,"2023-01-13"
"171","Dazecore","https://aesthetics.fandom.com/wiki/Dazecore",3,"2023-01-13"
"172","De Stijl","https://aesthetics.fandom.com/wiki/De_Stijl",NA,"2023-01-13"
"173","Deathcore","https://aesthetics.fandom.com/wiki/Deathcore",92,"2023-01-13"
"174","Deathrock","https://aesthetics.fandom.com/wiki/Deathrock",38,"2023-01-13"
"175","Decopunk","https://aesthetics.fandom.com/wiki/Decopunk",3,"2023-01-13"
"176","Decora","https://aesthetics.fandom.com/wiki/Decora",3486,"2023-01-13"
"177","Delicate Sweet","https://aesthetics.fandom.com/wiki/Delicate_Sweet",122,"2023-01-13"
"178","Desertwave","https://aesthetics.fandom.com/wiki/Desertwave",2,"2023-01-13"
"179","Desi Romantic Academia","https://aesthetics.fandom.com/wiki/Desi_Romantic_Academia",NA,"2023-01-13"
"180","Dethereal","https://aesthetics.fandom.com/wiki/Dethereal",NA,"2023-01-13"
"181","Devilcore","https://aesthetics.fandom.com/wiki/Devilcore",23,"2023-01-13"
"182","Dieselpunk","https://aesthetics.fandom.com/wiki/Dieselpunk",2,"2023-01-13"
"183","Diner","https://aesthetics.fandom.com/wiki/Diner",547,"2023-01-13"
"184","Dionysism","https://aesthetics.fandom.com/wiki/Dionysism",1,"2023-01-13"
"185","Dolly Kei","https://aesthetics.fandom.com/wiki/Dolly_Kei",NA,"2023-01-13"
"186","Downtown Girl","https://aesthetics.fandom.com/wiki/Downtown_Girl",NA,"2023-01-13"
"187","Dracopunk","https://aesthetics.fandom.com/wiki/Dracopunk",3,"2023-01-13"
"188","Dragoncore","https://aesthetics.fandom.com/wiki/Dragoncore",5,"2023-01-13"
"189","Drain","https://aesthetics.fandom.com/wiki/Drain",430,"2023-01-13"
"190","Dreamcore","https://aesthetics.fandom.com/wiki/Dreamcore",70,"2023-01-13"
"191","Dreamy","https://aesthetics.fandom.com/wiki/Dreamy",1942,"2023-01-13"
"192","Drugcore","https://aesthetics.fandom.com/wiki/Drugcore",NA,"2023-01-13"
"193","Dual Kawaii","https://aesthetics.fandom.com/wiki/Dual_Kawaii",NA,"2023-01-13"
"194","Duckcore","https://aesthetics.fandom.com/wiki/Duckcore",NA,"2023-01-13"
"195","Dullcore","https://aesthetics.fandom.com/wiki/Dullcore",383,"2023-01-13"
"196","Dungeon Synth","https://aesthetics.fandom.com/wiki/Dungeon_Synth",NA,"2023-01-13"
"197","E-Boy","https://aesthetics.fandom.com/wiki/E-Boy",5016,"2023-01-13"
"198","E-Girl","https://aesthetics.fandom.com/wiki/E-Girl",18565,"2023-01-13"
"199","Earthcore","https://aesthetics.fandom.com/wiki/Earthcore",774,"2023-01-13"
"200","ElectroPop 08","https://aesthetics.fandom.com/wiki/ElectroPop_08",NA,"2023-01-13"
"201","Electro Swing","https://aesthetics.fandom.com/wiki/Electro_Swing",NA,"2023-01-13"
"202","Emo","https://aesthetics.fandom.com/wiki/Emo",NA,"2023-01-13"
"203","English Major","https://aesthetics.fandom.com/wiki/English_Major",8,"2023-01-13"
"204","Equestrian","https://aesthetics.fandom.com/wiki/Equestrian",99,"2023-01-13"
"205","Erokawa","https://aesthetics.fandom.com/wiki/Erokawa",NA,"2023-01-13"
"206","Ethereal","https://aesthetics.fandom.com/wiki/Ethereal",NA,"2023-01-13"
"207","Europunk","https://aesthetics.fandom.com/wiki/Europunk",NA,"2023-01-13"
"208","Expressionism","https://aesthetics.fandom.com/wiki/Expressionism",18,"2023-01-13"
"209","Fairy Academia","https://aesthetics.fandom.com/wiki/Fairy_Academia",NA,"2023-01-13"
"210","Fairy Grunge","https://aesthetics.fandom.com/wiki/Fairy_Grunge",NA,"2023-01-13"
"211","Fairy Kei","https://aesthetics.fandom.com/wiki/Fairy_Kei",NA,"2023-01-13"
"212","Fairy Tale","https://aesthetics.fandom.com/wiki/Fairy_Tale",NA,"2023-01-13"
"213","Fairycore","https://aesthetics.fandom.com/wiki/Fairycore",12662,"2023-01-13"
"214","Fanfare","https://aesthetics.fandom.com/wiki/Fanfare",1,"2023-01-13"
"215","Fantasy","https://aesthetics.fandom.com/wiki/Fantasy",NA,"2023-01-13"
"216","Fantasy Astronomy","https://aesthetics.fandom.com/wiki/Fantasy_Astronomy",NA,"2023-01-13"
"217","Fashwave","https://aesthetics.fandom.com/wiki/Fashwave",NA,"2023-01-13"
"218","Farmer's Daughter","https://aesthetics.fandom.com/wiki/Farmer%27s_Daughter",27,"2023-01-13"
"219","Fauvism","https://aesthetics.fandom.com/wiki/Fauvism",NA,"2023-01-13"
"220","Fawncore","https://aesthetics.fandom.com/wiki/Fawncore",31,"2023-01-13"
"221","Femboy","https://aesthetics.fandom.com/wiki/Femboy",16,"2023-01-13"
"222","Femcel Weeaboo","https://aesthetics.fandom.com/wiki/Femcel_Weeaboo",NA,"2023-01-13"
"223","Femme Fatale","https://aesthetics.fandom.com/wiki/Femme_Fatale",76,"2023-01-13"
"224","Feralcore","https://aesthetics.fandom.com/wiki/Feralcore",5,"2023-01-13"
"225","Film Noir","https://aesthetics.fandom.com/wiki/Film_Noir",25,"2023-01-13"
"226","Flapper","https://aesthetics.fandom.com/wiki/Flapper",50,"2023-01-13"
"227","Flat Design","https://aesthetics.fandom.com/wiki/Flat_Design",NA,"2023-01-13"
"228","Folk Punk","https://aesthetics.fandom.com/wiki/Folk_Punk",NA,"2023-01-13"
"229","Foodie","https://aesthetics.fandom.com/wiki/Foodie",20,"2023-01-13"
"230","Forestpunk","https://aesthetics.fandom.com/wiki/Forestpunk",45,"2023-01-13"
"231","French Girl","https://aesthetics.fandom.com/wiki/French_Girl",NA,"2023-01-13"
"232","French Girly","https://aesthetics.fandom.com/wiki/French_Girly",15,"2023-01-13"
"233","Frogcore","https://aesthetics.fandom.com/wiki/Frogcore",18,"2023-01-13"
"234","Frutiger Aero","https://aesthetics.fandom.com/wiki/Frutiger_Aero",NA,"2023-01-13"
"235","Funky Seasons","https://aesthetics.fandom.com/wiki/Funky_Seasons",79,"2023-01-13"
"236","Furry","https://aesthetics.fandom.com/wiki/Furry",304,"2023-01-13"
"237","Futago","https://aesthetics.fandom.com/wiki/Futago",NA,"2023-01-13"
"238","Futurism","https://aesthetics.fandom.com/wiki/Futurism",NA,"2023-01-13"
"239","Gadgetpunk","https://aesthetics.fandom.com/wiki/Gadgetpunk",NA,"2023-01-13"
"240","Game Night","https://aesthetics.fandom.com/wiki/Game_Night",NA,"2023-01-13"
"241","Gamercore","https://aesthetics.fandom.com/wiki/Gamercore",NA,"2023-01-13"
"242","Gamine","https://aesthetics.fandom.com/wiki/Gamine",173,"2023-01-13"
"243","Geek","https://aesthetics.fandom.com/wiki/Geek",78,"2023-01-13"
"244","Gen X Soft Club","https://aesthetics.fandom.com/wiki/Gen_X_Soft_Club",NA,"2023-01-13"
"245","Ghostcore","https://aesthetics.fandom.com/wiki/Ghostcore",12,"2023-01-13"
"246","Girl-Next-Door","https://aesthetics.fandom.com/wiki/Girl-Next-Door",65,"2023-01-13"
"247","Glam Girl","https://aesthetics.fandom.com/wiki/Glam_Girl",NA,"2023-01-13"
"248","Glam Rock","https://aesthetics.fandom.com/wiki/Glam_Rock",NA,"2023-01-13"
"249","Glitchcore","https://aesthetics.fandom.com/wiki/Glitchcore",60,"2023-01-13"
"250","Gloomcore","https://aesthetics.fandom.com/wiki/Gloomcore",46,"2023-01-13"
"251","Glowwave","https://aesthetics.fandom.com/wiki/Glowwave",NA,"2023-01-13"
"252","Goblin Academia","https://aesthetics.fandom.com/wiki/Goblin_Academia",NA,"2023-01-13"
"253","Goblincore","https://aesthetics.fandom.com/wiki/Goblincore",1648,"2023-01-13"
"254","Golden Age of Detective Fiction","https://aesthetics.fandom.com/wiki/Golden_Age_of_Detective_Fiction",NA,"2023-01-13"
"255","Golden Hour","https://aesthetics.fandom.com/wiki/Golden_Hour",NA,"2023-01-13"
"256","Gopnik","https://aesthetics.fandom.com/wiki/Gopnik",3,"2023-01-13"
"257","Gorecore","https://aesthetics.fandom.com/wiki/Gorecore",869,"2023-01-13"
"258","Gorpcore","https://aesthetics.fandom.com/wiki/Gorpcore",870,"2023-01-13"
"259","Goth","https://aesthetics.fandom.com/wiki/Goth",NA,"2023-01-13"
"260","Gothcore","https://aesthetics.fandom.com/wiki/Gothcore",290,"2023-01-13"
"261","Gothic","https://aesthetics.fandom.com/wiki/Gothic",NA,"2023-01-13"
"262","Gothic Lolita","https://aesthetics.fandom.com/wiki/Gothic_Lolita",NA,"2023-01-13"
"263","Grandmillenial","https://aesthetics.fandom.com/wiki/Grandmillenial",12,"2023-01-13"
"264","Grandparentcore","https://aesthetics.fandom.com/wiki/Grandparentcore",12,"2023-01-13"
"265","Greaser","https://aesthetics.fandom.com/wiki/Greaser",43,"2023-01-13"
"266","Green Academia","https://aesthetics.fandom.com/wiki/Green_Academia",NA,"2023-01-13"
"267","Grifes","https://aesthetics.fandom.com/wiki/Grifes",11,"2023-01-13"
"268","Grindhouse","https://aesthetics.fandom.com/wiki/Grindhouse",1,"2023-01-13"
"269","Groundcore","https://aesthetics.fandom.com/wiki/Groundcore",9,"2023-01-13"
"270","Grunge","https://aesthetics.fandom.com/wiki/Grunge",NA,"2023-01-13"
"271","Gull Girl","https://aesthetics.fandom.com/wiki/Gull_Girl",NA,"2023-01-13"
"272","Gurokawa","https://aesthetics.fandom.com/wiki/Gurokawa",10,"2023-01-13"
"273","Gyaru","https://aesthetics.fandom.com/wiki/Gyaru",471,"2023-01-13"
"274","Hackercore","https://aesthetics.fandom.com/wiki/Hackercore",1,"2023-01-13"
"275","Halloween","https://aesthetics.fandom.com/wiki/Halloween",3790,"2023-01-13"
"276","Hallyu","https://aesthetics.fandom.com/wiki/Hallyu",1,"2023-01-13"
"277","Happycore","https://aesthetics.fandom.com/wiki/Happycore",13,"2023-01-13"
"278","Hatecore","https://aesthetics.fandom.com/wiki/Hatecore",NA,"2023-01-13"
"279","Hauntology","https://aesthetics.fandom.com/wiki/Hauntology",NA,"2023-01-13"
"280","Haussmann Paris","https://aesthetics.fandom.com/wiki/Haussmann_Paris",NA,"2023-01-13"
"281","Health Goth","https://aesthetics.fandom.com/wiki/Health_Goth",NA,"2023-01-13"
"282","Heatwave","https://aesthetics.fandom.com/wiki/Heatwave",4,"2023-01-13"
"283","Heistcore","https://aesthetics.fandom.com/wiki/Heistcore",6,"2023-01-13"
"284","Hellenic","https://aesthetics.fandom.com/wiki/Hellenic",2,"2023-01-13"
"285","Helvetica Aqua Aero","https://aesthetics.fandom.com/wiki/Helvetica_Aqua_Aero",NA,"2023-01-13"
"286","Hermaphroditus","https://aesthetics.fandom.com/wiki/Hermaphroditus",NA,"2023-01-13"
"287","Hermitpunk","https://aesthetics.fandom.com/wiki/Hermitpunk",NA,"2023-01-13"
"288","Hexatron","https://aesthetics.fandom.com/wiki/Hexatron",NA,"2023-01-13"
"289","Hi-NRG","https://aesthetics.fandom.com/wiki/Hi-NRG",NA,"2023-01-13"
"290","High School Dream","https://aesthetics.fandom.com/wiki/High_School_Dream",NA,"2023-01-13"
"291","Hikecore","https://aesthetics.fandom.com/wiki/Hikecore",2,"2023-01-13"
"292","Hime Lolita","https://aesthetics.fandom.com/wiki/Hime_Lolita",NA,"2023-01-13"
"293","Hip-Hop","https://aesthetics.fandom.com/wiki/Hip-Hop",862,"2023-01-13"
"294","Hipness Purgatory","https://aesthetics.fandom.com/wiki/Hipness_Purgatory",NA,"2023-01-13"
"295","Hippie","https://aesthetics.fandom.com/wiki/Hippie",18096,"2023-01-13"
"296","Hipster","https://aesthetics.fandom.com/wiki/Hipster",4150,"2023-01-13"
"297","Hispanicore","https://aesthetics.fandom.com/wiki/Hispanicore",NA,"2023-01-13"
