"aesthetic","day_diff_med","aes_wiki_link","rank","main_img"
"Spring",0.0013156290612994,"https://aesthetics.fandom.com/wiki/Spring",103,"https://static.wikia.nocookie.net/aesthetics/images/7/7c/Spring.PNG"
"Hipster",0.00129094287442745,"https://aesthetics.fandom.com/wiki/Hipster",104,"https://static.wikia.nocookie.net/aesthetics/images/2/22/220px-Postmodern_Ironic_Hipster_Fashion.jpg"
"Mermaid",0.00121229576874738,"https://aesthetics.fandom.com/wiki/Mermaid",105,"https://static.wikia.nocookie.net/aesthetics/images/1/12/Mermaid_scales2.jpg"
"Weirdcore",0.00102880658436214,"https://aesthetics.fandom.com/wiki/Weirdcore",106,"https://static.wikia.nocookie.net/aesthetics/images/2/21/C03C26FF-D51D-4525-85F8-1E3FF4E0BFA4.gif"
"Lounge",0.000776940527398726,"https://aesthetics.fandom.com/wiki/Lounge",107,"https://static.wikia.nocookie.net/aesthetics/images/1/1c/Guy-fieri.jpg"
"Softie",0.000682128240109141,"https://aesthetics.fandom.com/wiki/Softie",108,"https://static.wikia.nocookie.net/aesthetics/images/6/60/Kawaiisoftie.jpg"
"Psychedelica",0.000608660990276242,"https://aesthetics.fandom.com/wiki/Psychedelica",109,"https://static.wikia.nocookie.net/aesthetics/images/3/34/No_title%2C_by_Seemon_%26_Marijke%2C_1967%2C_exhibitioon_copies%2C_Stedelijk_Museum_Amsterdam.jpeg"
"Country",0.000553097345132743,"https://aesthetics.fandom.com/wiki/Country",110,"https://static.wikia.nocookie.net/aesthetics/images/f/f9/Country_couple.jpg"
"Biopunk",0,"https://aesthetics.fandom.com/wiki/Biopunk",111,"https://static.wikia.nocookie.net/aesthetics/images/4/4a/Biopunk.jpg"
"Bombacore",0,"https://aesthetics.fandom.com/wiki/Bombacore",112,"https://static.wikia.nocookie.net/aesthetics/images/e/eb/Geolgau.jpg"
"Delicate Sweet",0,"https://aesthetics.fandom.com/wiki/Delicate_Sweet",113,"https://static.wikia.nocookie.net/aesthetics/images/e/e5/Middlepot.jpg"
"Gamine",0,"https://aesthetics.fandom.com/wiki/Gamine",114,"https://static.wikia.nocookie.net/aesthetics/images/e/ec/Gamine-4-audrey-tatou.jpg"
"Gothcore",0,"https://aesthetics.fandom.com/wiki/Gothcore",115,"https://static.wikia.nocookie.net/aesthetics/images/b/bc/Gothic_window_with_bats%2C_photo_by_Nona_Limmen.jpeg"
"Honeycore",0,"https://aesthetics.fandom.com/wiki/Honeycore",116,"https://static.wikia.nocookie.net/aesthetics/images/a/a0/Herb-Infused_Honey.jpg"
"Neko",0,"https://aesthetics.fandom.com/wiki/Neko",117,"https://static.wikia.nocookie.net/aesthetics/images/9/96/HTB1xhFkXyfrK1RjSspbxh74pFXav.jpg"
"Plant Mom",0,"https://aesthetics.fandom.com/wiki/Plant_Mom",118,"https://static.wikia.nocookie.net/aesthetics/images/6/62/777caca5bb2b5c03bee61ba125575722.jpg"
"Post-rock",0,"https://aesthetics.fandom.com/wiki/Post-rock",119,"https://static.wikia.nocookie.net/aesthetics/images/d/d0/GY%21BE-Fe.jpg"
"Rockabilly",0,"https://aesthetics.fandom.com/wiki/Rockabilly",120,"https://static.wikia.nocookie.net/aesthetics/images/9/9e/Rockabilly_dinner.jpg"
"Scrapbook",0,"https://aesthetics.fandom.com/wiki/Scrapbook",121,"https://static.wikia.nocookie.net/aesthetics/images/4/49/90s_Inspiration.jpg"
"Surrealism",0,"https://aesthetics.fandom.com/wiki/Surrealism",122,"https://static.wikia.nocookie.net/aesthetics/images/2/2b/The_Elephant_Celebes.jpg"
"XO",0,"https://aesthetics.fandom.com/wiki/XO",123,"https://static.wikia.nocookie.net/aesthetics/images/0/06/HouseOfBalloons.jpg"
