"aesthetic","aes_link"
"Bodikon","https://aesthetics.fandom.com/wiki/Bodikon"
"Bohemian","https://aesthetics.fandom.com/wiki/Bohemian"
"Bombacore","https://aesthetics.fandom.com/wiki/Bombacore"
"Bookstore Girl","https://aesthetics.fandom.com/wiki/Bookstore_Girl"
"Bosozoku","https://aesthetics.fandom.com/wiki/Bosozoku"
"Boujee","https://aesthetics.fandom.com/wiki/Boujee"
"Breakcore","https://aesthetics.fandom.com/wiki/Breakcore"
"Britpop","https://aesthetics.fandom.com/wiki/Britpop"
"Bro","https://aesthetics.fandom.com/wiki/Bro"
"Bronzepunk","https://aesthetics.fandom.com/wiki/Bronzepunk"
"Bubble Bujo","https://aesthetics.fandom.com/wiki/Bubble_Bujo"
"Bubble Goth","https://aesthetics.fandom.com/wiki/Bubble_Goth"
"Bubblegum Bitch","https://aesthetics.fandom.com/wiki/Bubblegum_Bitch"
"Bubblegum Witch","https://aesthetics.fandom.com/wiki/Bubblegum_Witch"
"Cabincore","https://aesthetics.fandom.com/wiki/Cabincore"
"Cagole","https://aesthetics.fandom.com/wiki/Cagole"
"Camp","https://aesthetics.fandom.com/wiki/Camp"
"Campcore","https://aesthetics.fandom.com/wiki/Campcore"
"Cargopunk","https://aesthetics.fandom.com/wiki/Cargopunk"
"Carnivalcore","https://aesthetics.fandom.com/wiki/Carnivalcore"
"Cartelcore","https://aesthetics.fandom.com/wiki/Cartelcore"
"Cartooncore","https://aesthetics.fandom.com/wiki/Cartooncore"
"Casino","https://aesthetics.fandom.com/wiki/Casino"
"Cassette Futurism","https://aesthetics.fandom.com/wiki/Cassette_Futurism"
"Celtic","https://aesthetics.fandom.com/wiki/Celtic"
"Changelingcore","https://aesthetics.fandom.com/wiki/Changelingcore"
"Chaotic Academia","https://aesthetics.fandom.com/wiki/Chaotic_Academia"
"Chav","https://aesthetics.fandom.com/wiki/Chav"
"Cheiron Crush","https://aesthetics.fandom.com/wiki/Cheiron_Crush"
"Cherry Emoji Twitter","https://aesthetics.fandom.com/wiki/Cherry_Emoji_Twitter"
"Chic Modernist","https://aesthetics.fandom.com/wiki/Chic_Modernist"
"Cholo","https://aesthetics.fandom.com/wiki/Cholo"
"Christcore","https://aesthetics.fandom.com/wiki/Christcore"
"Christian Girl Autumn","https://aesthetics.fandom.com/wiki/Christian_Girl_Autumn"
"Christmas","https://aesthetics.fandom.com/wiki/Christmas"
"Chunyu","https://aesthetics.fandom.com/wiki/Chunyu"
"City Pop","https://aesthetics.fandom.com/wiki/City_Pop"
"Classic Academia","https://aesthetics.fandom.com/wiki/Classic_Academia"
"Classic Lolita","https://aesthetics.fandom.com/wiki/Classic_Lolita"
"Classicism","https://aesthetics.fandom.com/wiki/Classicism"
"Cleancore","https://aesthetics.fandom.com/wiki/Cleancore"
"Clockpunk","https://aesthetics.fandom.com/wiki/Clockpunk"
"Clowncore","https://aesthetics.fandom.com/wiki/Clowncore"
"Club","https://aesthetics.fandom.com/wiki/Club"
"Club Kids","https://aesthetics.fandom.com/wiki/Club_Kids"
"Coastal Grandmother","https://aesthetics.fandom.com/wiki/Coastal_Grandmother"
"Cutecore","https://aesthetics.fandom.com/wiki/Cutecore"
"Cyber Stylin","https://aesthetics.fandom.com/wiki/Cyber_Stylin%27"
"Coffee House/Cafe","https://aesthetics.fandom.com/wiki/Coffee_House/Cafe"
"Coffinwood","https://aesthetics.fandom.com/wiki/Coffinwood"
"Comfy/Cozy","https://aesthetics.fandom.com/wiki/Comfy/Cozy"
"Common White Girl","https://aesthetics.fandom.com/wiki/Common_White_Girl"
"Concore","https://aesthetics.fandom.com/wiki/Concore"
"Constructivism","https://aesthetics.fandom.com/wiki/Constructivism"
"Corporate","https://aesthetics.fandom.com/wiki/Corporate"
"Corporate Memphis","https://aesthetics.fandom.com/wiki/Corporate_Memphis"
"Corporate Punk","https://aesthetics.fandom.com/wiki/Corporate_Punk"
"Cottagecore","https://aesthetics.fandom.com/wiki/Cottagecore"
"Cottagegore","https://aesthetics.fandom.com/wiki/Cottagegore"
"Coquette Academia","https://aesthetics.fandom.com/wiki/Coquette_Academia"
"Coquette","https://aesthetics.fandom.com/wiki/Coquette"
"Country","https://aesthetics.fandom.com/wiki/Country"
"Cozy Childhood Hideaway","https://aesthetics.fandom.com/wiki/Cozy_Childhood_Hideaway"
